PERMNO,date,TICKER,TRDSTAT,PRC,RET,SHROUT,sprtrn
10104,20130131,ORCL,A,35.51,0.065726,4734297,0.050428
10104,20130228,ORCL,A,34.24,-0.035764,4719000,0.011061
10104,20130328,ORCL,A,32.33,-0.055783,4710658,0.035988
10104,20130430,ORCL,A,32.78,0.013919,4698310,0.018086
10104,20130531,ORCL,A,33.78,0.030506,4646000,0.020763
10104,20130628,ORCL,A,30.71,-0.090882,4646000,-0.014999
10104,20130731,ORCL,A,32.35,0.05731,4630807,0.049462
10104,20130830,ORCL,A,31.86,-0.015147,4630807,-0.031298
10104,20130930,ORCL,A,33.17,0.041117,4557459,0.029749
10104,20131031,ORCL,A,33.5,0.013567,4557459,0.044596
10104,20131129,ORCL,A,35.29,0.053433,4557459,0.028049
10104,20131231,ORCL,A,38.26,0.08416,4497409,0.023563
10104,20140131,ORCL,A,36.9,-0.03241,4497409,-0.035583
10104,20140228,ORCL,A,39.11,0.059892,4497409,0.043117
10104,20140331,ORCL,A,40.91,0.046024,4458886,0.006932
10104,20140430,ORCL,A,40.88,0.0022,4458886,0.006201
10104,20140530,ORCL,A,42.02,0.027886,4458886,0.02103
10104,20140630,ORCL,A,40.53,-0.035459,4454889,0.019058
10104,20140731,ORCL,A,40.39,-0.000493,4454889,-0.01508
10104,20140829,ORCL,A,41.53,0.028225,4454889,0.037655
10104,20140930,ORCL,A,38.28,-0.078257,4431304,-0.015514
10104,20141031,ORCL,A,39.05,0.02325,4431304,0.023201
10104,20141128,ORCL,A,42.41,0.086044,4431304,0.024534
10104,20141231,ORCL,A,44.97,0.060363,4391367,-0.004189
10104,20150130,ORCL,A,41.89,-0.065822,4391367,-0.031041
10104,20150227,ORCL,A,43.82,0.046073,4391367,0.054893
10104,20150331,ORCL,A,43.15,-0.01529,4367070,-0.017396
10104,20150430,ORCL,A,43.62,0.014368,4698310,0.008521
10104,20150529,ORCL,A,43.49,-0.00298,4367070,0.010491
10104,20150630,ORCL,A,40.3,-0.07335,4336077,-0.021012
10104,20150731,ORCL,A,39.94,-0.005211,4336077,0.019742
10104,20150831,ORCL,A,37.09,-0.071357,4336077,-0.062581
10104,20150930,ORCL,A,36.12,-0.026153,4264628,-0.026443
10104,20151030,ORCL,A,38.84,0.079457,4264628,0.082983
10104,20151130,ORCL,A,38.97,0.003347,4264628,0.000505
10104,20151231,ORCL,A,36.53,-0.062612,4201220,-0.01753
10104,20160129,ORCL,A,36.31,-0.001916,4201220,-0.050735
10104,20160229,ORCL,A,36.78,0.012944,4201220,-0.004128
10104,20160331,ORCL,A,40.91,0.112289,4149865,0.065991
10104,20160429,ORCL,A,39.86,-0.021999,4149865,0.002699
10104,20160531,ORCL,A,40.2,0.00853,4149865,0.015329
10104,20160630,ORCL,A,40.93,0.018159,4122730,0.000906
10104,20160729,ORCL,A,41.04,0.006352,4122730,0.03561
10104,20160831,ORCL,A,41.22,0.004386,4122730,-0.001219
10104,20160930,ORCL,A,39.28,-0.047065,4105645,-0.001234
10104,20161031,ORCL,A,38.42,-0.018075,4105645,-0.019426
10104,20161130,ORCL,A,40.19,0.04607,4105645,0.034174
10104,20161230,ORCL,A,38.45,-0.043294,4102353,0.018201
10104,20170131,ORCL,A,40.11,0.047074,4102353,0.017884
10104,20170228,ORCL,A,42.59,0.06183,4102353,0.037198
10104,20170331,ORCL,A,44.61,0.047429,4114684,-0.000389
10104,20170428,ORCL,A,44.96,0.012105,4114684,0.009091
10104,20170531,ORCL,A,45.39,0.009564,4114684,0.011576
10104,20170630,ORCL,A,50.14,0.104649,4136682,0.004814
10104,20170731,ORCL,A,49.93,-0.000399,4136682,0.019349
10104,20170831,ORCL,A,50.33,0.008011,4136682,0.000546
10104,20170929,ORCL,A,48.35,-0.03934,4173486,0.019303
10104,20171031,ORCL,A,50.9,0.05667,4173486,0.022188
10104,20171130,ORCL,A,49.06,-0.036149,4173486,0.028083
10104,20171229,ORCL,A,47.28,-0.036282,4139602,0.009832
10104,20180131,ORCL,A,51.59,0.095178,4139602,0.056179
10104,20180228,ORCL,A,50.67,-0.017833,4139602,-0.038947
10104,20180329,ORCL,A,45.75,-0.097099,4082313,-0.026885
10104,20180430,ORCL,A,45.67,0.002404,4082313,0.002719
10104,20180531,ORCL,A,46.72,0.022991,4082313,0.021608
10104,20180629,ORCL,A,44.06,-0.056935,3981155,0.004842
10104,20180731,ORCL,A,47.68,0.086473,3981155,0.036022
10104,20180831,ORCL,A,48.58,0.018876,3981155,0.030263
10104,20180928,ORCL,A,51.56,0.061342,3787960,0.004294
10104,20181031,ORCL,A,48.84,-0.049069,3787960,-0.069403
10104,20181130,ORCL,A,48.76,-0.001638,3787960,0.017859
10104,20181231,ORCL,A,45.15,-0.074036,3588919,-0.091777
10104,20190131,ORCL,A,50.23,0.116722,3588919,0.078684
10104,20190228,ORCL,A,52.13,0.037826,3588919,0.029729
10104,20190329,ORCL,A,53.71,0.030309,3417654,0.017924
10104,20190430,ORCL,A,55.33,0.03463,3417654,0.039313
10104,20190531,ORCL,A,50.6,-0.085487,3417654,-0.065778
10104,20190628,ORCL,A,56.97,0.125889,3335819,0.06893
10104,20190731,ORCL,A,56.3,-0.007548,3335819,0.013128
10104,20190830,ORCL,A,52.06,-0.075311,3335819,-0.018092
10104,20190930,ORCL,A,55.03,0.05705,3282517,0.017181
10104,20191031,ORCL,A,54.49,-0.005452,3282517,0.020432
10104,20191129,ORCL,A,56.14,0.030281,3282517,0.034047
10104,20191231,ORCL,A,52.98,-0.056288,3207649,0.02859
10104,20200131,ORCL,A,52.45,-0.005474,3207649,-0.001628
10104,20200228,ORCL,A,49.46,-0.057007,3207649,-0.08411
10104,20200331,ORCL,A,48.33,-0.022847,3153584,-0.125119
10104,20200430,ORCL,A,52.97,0.100972,3153584,0.126844
10104,20200529,ORCL,A,53.77,0.015103,3153584,0.045282
10104,20200630,ORCL,A,55.27,0.027897,3068682,0.018388
10104,20200731,ORCL,A,55.45,0.007599,3068682,0.055101
10104,20200831,ORCL,A,57.22,0.031921,3068682,0.070065
10104,20200930,ORCL,A,59.7,0.043341,3010888,-0.039228
10104,20201030,ORCL,A,56.11,-0.056114,3010888,-0.027666
10104,20201130,ORCL,A,57.72,0.028694,3010888,0.107546
10104,20201231,ORCL,A,64.69,0.120755,2944034,0.037121
10104,20210129,ORCL,A,60.43,-0.062143,2944034,-0.011137
10104,20210226,ORCL,A,64.51,0.067516,2944034,0.026091
10104,20210331,ORCL,A,70.17,0.087738,2883535,0.042439
10104,20210430,ORCL,A,75.79,0.084652,2883535,0.052425
10104,20210528,ORCL,A,78.74,0.038923,2883535,0.005487
10104,20210630,ORCL,A,77.84,-0.01143,2792000,0.022214
10104,20210730,ORCL,A,87.14,0.123587,2792000,0.022748
10104,20210831,ORCL,A,89.13,0.022837,2792000,0.02899
10104,20210930,ORCL,A,87.13,-0.022439,2733686,-0.047569
10104,20211029,ORCL,A,95.94,0.104786,2733686,0.069144
10104,20211130,ORCL,A,90.74,-0.054201,2733686,-0.008334
10104,20211231,ORCL,A,87.21,-0.038902,2670447,0.043613
10104,20220131,ORCL,A,81.16,-0.065703,2670447,-0.052585
10104,20220228,ORCL,A,75.97,-0.063948,2670447,-0.031361
10104,20220331,ORCL,A,82.73,0.088983,2668157,0.035773
10104,20220429,ORCL,A,73.4,-0.108909,2668157,-0.087957
10104,20220531,ORCL,A,71.92,-0.020164,2668157,0.000053
10104,20220630,ORCL,A,69.87,-0.028504,2664926,-0.08392
10104,20220729,ORCL,A,77.84,0.118649,2664926,0.091116
10104,20220831,ORCL,A,74.15,-0.047405,2664926,-0.04244
10104,20220930,ORCL,A,61.07,-0.176399,2695653,-0.093396
10104,20221031,ORCL,A,78.07,0.283609,2695653,0.079863
10104,20221130,ORCL,A,83.03,0.063533,2696166,0.053753
10104,20221230,ORCL,A,81.74,-0.015537,2696253,-0.058971
10107,20130131,MSFT,A,27.45,0.027717,8376245,0.050428
10107,20130228,MSFT,A,27.8,0.021129,8376245,0.011061
10107,20130328,MSFT,A,28.605,0.028957,8349000,0.035988
10107,20130430,MSFT,A,33.1,0.15714,8351107,0.018086
10107,20130531,MSFT,A,34.9,0.061329,8351107,0.020763
10107,20130628,MSFT,A,34.545,-0.010172,8328000,-0.014999
10107,20130731,MSFT,A,31.84,-0.078304,8329956,0.049462
10107,20130830,MSFT,A,33.4,0.056219,8329956,-0.031298
10107,20130930,MSFT,A,33.28,-0.003593,8346000,0.029749
10107,20131031,MSFT,A,35.405,0.063852,8347968,0.044596
10107,20131129,MSFT,A,38.13,0.084875,8347968,0.028049
10107,20131231,MSFT,A,37.41,-0.018883,8300000,0.023563
10107,20140131,MSFT,A,37.84,0.011494,8300724,-0.035583
10107,20140228,MSFT,A,38.31,0.01982,8300724,0.043117
10107,20140331,MSFT,A,40.99,0.069956,8260000,0.006932
10107,20140430,MSFT,A,40.4,-0.014394,8260412,0.006201
10107,20140530,MSFT,A,40.94,0.020297,8260412,0.02103
10107,20140630,MSFT,A,41.7,0.018564,8239000,0.019058
10107,20140731,MSFT,A,43.16,0.035012,8239849,-0.01508
10107,20140829,MSFT,A,45.43,0.059082,8239849,0.037655
10107,20140930,MSFT,A,46.36,0.020471,8255024,-0.015514
10107,20141031,MSFT,A,46.95,0.012726,8242853,0.023201
10107,20141128,MSFT,A,47.81,0.02492,8242853,0.024534
10107,20141231,MSFT,A,46.45,-0.028446,8218000,-0.004189
