permno,adate,qdate,public_date,evm,pe_exi,ps,roa,aftret_invcapx
10104,5/31/2012,11/30/2012,20130131,9.379,16.75,4.516,0.228,0.199
10104,5/31/2012,11/30/2012,20130228,9.379,16.151,4.34,0.228,0.199
10104,5/31/2012,11/30/2012,20130331,9.379,15.25,4.091,0.228,0.199
10104,5/31/2012,2/28/2013,20130430,9.702,15.247,4.146,0.223,0.195
10104,5/31/2012,2/28/2013,20130531,9.702,15.712,4.225,0.223,0.195
10104,5/31/2012,2/28/2013,20130630,9.702,14.284,3.841,0.223,0.195
10104,5/31/2013,5/31/2013,20130731,10.156,14.314,4.029,0.216,0.205
10104,5/31/2013,5/31/2013,20130831,10.156,14.097,3.968,0.216,0.205
10104,5/31/2013,5/31/2013,20130930,10.156,14.677,4.066,0.216,0.205
10104,5/31/2013,8/31/2013,20131031,10.004,14.44,4.085,0.22,0.196
10104,5/31/2013,8/31/2013,20131130,10.004,15.211,4.304,0.22,0.196
10104,5/31/2013,8/31/2013,20131231,10.004,16.491,4.604,0.22,0.196
10104,5/31/2013,11/30/2013,20140131,10.147,15.769,4.419,0.214,0.189
10104,5/31/2013,11/30/2013,20140228,10.147,16.714,4.684,0.214,0.189
10104,5/31/2013,11/30/2013,20140331,10.147,17.483,4.858,0.214,0.189
10104,5/31/2013,2/28/2014,20140430,10.288,17.176,4.809,0.213,0.186
10104,5/31/2013,2/28/2014,20140531,10.288,17.655,4.943,0.213,0.186
10104,5/31/2013,2/28/2014,20140630,10.288,17.029,4.764,0.213,0.186
10104,5/31/2014,5/31/2014,20140731,11.874,16.971,4.701,0.207,0.188
10104,5/31/2014,5/31/2014,20140831,11.874,17.45,4.834,0.207,0.188
10104,5/31/2014,5/31/2014,20140930,11.874,16.084,4.432,0.207,0.188
10104,5/31/2014,8/31/2014,20141031,11.331,16.271,4.495,0.205,0.177
10104,5/31/2014,8/31/2014,20141130,11.331,17.671,4.881,0.205,0.177
10104,5/31/2014,8/31/2014,20141231,11.331,18.738,5.129,0.205,0.177
10104,5/31/2014,11/30/2014,20150131,11.742,17.454,4.738,0.199,0.169
10104,5/31/2014,11/30/2014,20150228,11.742,18.258,4.957,0.199,0.169
10104,5/31/2014,11/30/2014,20150331,11.742,17.979,4.854,0.199,0.169
10104,5/31/2014,2/28/2015,20150430,12.202,18.251,5.277,0.19,0.161
10104,5/31/2014,2/28/2015,20150531,12.202,18.197,4.89,0.19,0.161
10104,5/31/2014,2/28/2015,20150630,12.202,16.862,4.499,0.19,0.161
10104,5/31/2015,5/31/2015,20150731,13.523,18.072,4.531,0.17,0.159
10104,5/31/2015,5/31/2015,20150831,13.523,16.783,4.207,0.17,0.159
10104,5/31/2015,5/31/2015,20150930,13.523,16.344,4.03,0.17,0.159
10104,5/31/2015,8/31/2015,20151031,13.062,18.15,4.35,0.164,0.132
10104,5/31/2015,8/31/2015,20151130,13.062,18.21,4.365,0.164,0.132
10104,5/31/2015,8/31/2015,20151231,13.062,17.07,4.03,0.164,0.132
10104,5/31/2015,11/30/2015,20160131,13.397,17.457,4.071,0.154,0.126
10104,5/31/2015,11/30/2015,20160229,13.397,17.683,4.124,0.154,0.126
10104,5/31/2015,11/30/2015,20160331,13.397,19.668,4.53,0.154,0.126
10104,5/31/2015,2/29/2016,20160430,13.222,19.635,4.452,0.147,0.121
10104,5/31/2015,2/29/2016,20160531,13.222,19.803,4.489,0.147,0.121
10104,5/31/2015,2/29/2016,20160630,13.222,20.163,4.541,0.147,0.121
10104,5/31/2016,5/31/2016,20160731,13.495,19.826,4.567,0.139,0.117
10104,5/31/2016,5/31/2016,20160831,13.495,19.913,4.587,0.139,0.117
10104,5/31/2016,5/31/2016,20160930,13.495,18.976,4.353,0.139,0.117
10104,5/31/2016,8/31/2016,20161031,13.49,18.295,4.241,0.142,0.122
10104,5/31/2016,8/31/2016,20161130,13.49,19.138,4.436,0.142,0.122
10104,5/31/2016,8/31/2016,20161231,13.49,18.31,4.241,0.142,0.122
10104,5/31/2016,11/30/2016,20170131,13.705,19.284,4.419,0.138,0.117
10104,5/31/2016,11/30/2016,20170228,13.705,20.476,4.692,0.138,0.117
10104,5/31/2016,11/30/2016,20170331,13.705,21.447,4.93,0.138,0.117
10104,5/31/2016,2/28/2017,20170430,14.288,21.308,4.943,0.133,0.114
10104,5/31/2016,2/28/2017,20170531,14.288,21.512,4.99,0.133,0.114
10104,5/31/2016,2/28/2017,20170630,14.288,23.763,5.542,0.133,0.114
10104,5/31/2017,5/31/2017,20170731,15.731,22.593,5.475,0.126,0.128
10104,5/31/2017,5/31/2017,20170831,15.731,22.774,5.518,0.126,0.128
10104,5/31/2017,5/31/2017,20170930,15.731,21.878,5.348,0.126,0.128
10104,5/31/2017,8/31/2017,20171031,15.041,22.423,5.556,0.125,0.115
10104,5/31/2017,8/31/2017,20171130,15.041,21.612,5.355,0.125,0.115
10104,5/31/2017,8/31/2017,20171231,15.041,20.828,5.119,0.125,0.115
10104,5/31/2017,11/30/2017,20180131,15.401,22.333,5.505,0.126,0.116
10104,5/31/2017,11/30/2017,20180228,15.401,21.935,5.407,0.126,0.116
10104,5/31/2017,11/30/2017,20180331,15.401,19.805,4.815,0.126,0.116
10104,5/31/2017,2/28/2018,20180430,15.675,55.024,4.749,0.125,0.053
10104,5/31/2017,2/28/2018,20180531,15.675,56.289,4.858,0.125,0.053
10104,5/31/2017,2/28/2018,20180630,15.675,53.084,4.468,0.125,0.053
10104,5/31/2018,5/31/2018,20180731,14.506,52.978,4.766,0.125,0.058
10104,5/31/2018,5/31/2018,20180831,14.506,53.978,4.856,0.125,0.058
10104,5/31/2018,5/31/2018,20180930,14.506,57.289,4.903,0.125,0.058
10104,5/31/2018,8/31/2018,20181031,15.351,54.267,4.687,0.122,0.056
10104,5/31/2018,8/31/2018,20181130,15.351,54.178,4.679,0.122,0.056
10104,5/31/2018,8/31/2018,20181231,15.351,50.167,4.105,0.122,0.056
10104,5/31/2018,11/30/2018,20190131,14.981,50.737,4.57,0.122,0.059
10104,5/31/2018,11/30/2018,20190228,14.981,52.657,4.743,0.122,0.059
10104,5/31/2018,11/30/2018,20190331,14.981,54.253,4.654,0.122,0.059
10104,5/31/2018,2/28/2019,20190430,14.442,20.342,4.802,0.127,0.134
10104,5/31/2018,2/28/2019,20190531,14.442,18.603,4.391,0.127,0.134
10104,5/31/2018,2/28/2019,20190630,14.442,20.945,4.825,0.127,0.134
10104,5/31/2019,5/31/2019,20190731,13.4,18.956,4.754,0.137,0.13
10104,5/31/2019,5/31/2019,20190831,13.4,17.529,4.396,0.137,0.13
10104,5/31/2019,5/31/2019,20190930,13.4,18.529,4.572,0.137,0.13
10104,5/31/2019,8/31/2019,20191031,13.605,17.749,4.525,0.146,0.162
10104,5/31/2019,8/31/2019,20191130,13.605,18.287,4.662,0.146,0.162
10104,5/31/2019,8/31/2019,20191231,13.605,17.257,4.299,0.146,0.162
10104,5/31/2019,11/30/2019,20200131,13.575,16.651,4.25,0.154,0.172
10104,5/31/2019,11/30/2019,20200229,13.575,15.702,4.008,0.154,0.172
10104,5/31/2019,11/30/2019,20200331,13.575,15.343,3.85,0.154,0.172
10104,5/31/2019,2/29/2020,20200430,13.064,16.71,4.201,0.163,0.178
10104,5/31/2019,2/29/2020,20200531,13.064,16.962,4.264,0.163,0.178
10104,5/31/2019,2/29/2020,20200630,13.064,17.435,4.265,0.163,0.178
10104,5/31/2020,5/31/2020,20200731,13.948,18.003,4.355,0.153,0.165
10104,5/31/2020,5/31/2020,20200831,13.948,18.578,4.494,0.153,0.165
10104,5/31/2020,5/31/2020,20200930,13.948,19.383,4.601,0.153,0.165
10104,5/31/2020,8/31/2020,20201031,13.236,17.589,4.308,0.168,0.174
10104,5/31/2020,8/31/2020,20201130,13.236,18.094,4.431,0.168,0.174
10104,5/31/2020,8/31/2020,20201231,13.236,20.279,4.856,0.168,0.174
10104,5/31/2020,11/30/2020,20210131,13.009,18.257,4.515,0.169,0.173
10104,5/31/2020,11/30/2020,20210228,13.009,19.489,4.82,0.169,0.173
10104,5/31/2020,11/30/2020,20210331,13.009,21.199,5.135,0.169,0.173
10104,5/31/2020,2/28/2021,20210430,13.396,18.132,5.506,0.168,0.206
10104,5/31/2020,2/28/2021,20210531,13.396,18.837,5.72,0.168,0.206
10104,5/31/2020,2/28/2021,20210630,13.396,18.622,5.476,0.168,0.206
10104,5/31/2021,5/31/2021,20210731,16.624,19.152,6.01,0.151,0.197
10104,5/31/2021,5/31/2021,20210831,16.624,19.589,6.148,0.151,0.197
10104,5/31/2021,5/31/2021,20210930,16.624,19.149,5.884,0.151,0.197
10104,5/31/2021,8/31/2021,20211031,15.146,20.369,6.422,0.158,0.207
10104,5/31/2021,8/31/2021,20211130,15.146,19.265,6.074,0.158,0.207
10104,5/31/2021,8/31/2021,20211231,15.146,18.516,5.702,0.158,0.207
10104,5/31/2021,11/30/2021,20220131,15.991,23.322,5.235,0.157,0.16
10104,5/31/2021,11/30/2021,20220228,15.991,21.83,4.9,0.157,0.16
10104,5/31/2021,11/30/2021,20220331,15.991,23.773,5.332,0.157,0.16
10104,5/31/2021,2/28/2022,20220430,16.372,27.909,4.682,0.158,0.129
10104,5/31/2021,2/28/2022,20220531,16.372,27.346,4.588,0.158,0.129
10104,5/31/2021,2/28/2022,20220630,16.372,26.567,4.452,0.158,0.129
10104,5/31/2022,5/31/2022,20220731,14.312,32.299,4.888,0.158,0.105
10104,5/31/2022,5/31/2022,20220831,14.312,30.768,4.656,0.158,0.105
10104,5/31/2022,5/31/2022,20220930,14.312,25.34,3.879,0.158,0.105
10104,5/31/2022,8/31/2022,20221031,15.355,37.176,4.766,0.169,0.118
10104,5/31/2022,8/31/2022,20221130,15.355,39.538,5.07,0.169,0.118
10104,5/31/2022,8/31/2022,20221231,15.355,38.924,4.991,0.169,0.118
10107,6/30/2012,9/30/2012,20130131,8.99,14.838,3.178,0.253,0.207
10107,6/30/2012,12/31/2012,20130228,9.029,15.275,3.193,0.246,0.199
10107,6/30/2012,12/31/2012,20130331,9.029,15.717,3.275,0.246,0.199
10107,6/30/2012,12/31/2012,20130430,9.029,18.187,3.79,0.246,0.199
10107,6/30/2012,3/31/2013,20130531,8.141,18.083,3.834,0.256,0.205
10107,6/30/2012,3/31/2013,20130630,8.141,17.899,3.785,0.256,0.205
10107,6/30/2012,3/31/2013,20130731,8.141,16.497,3.489,0.256,0.205
10107,6/30/2013,6/30/2013,20130831,9.836,12.946,3.574,0.234,0.283
10107,6/30/2013,6/30/2013,20130930,9.836,12.899,3.568,0.234,0.283
10107,6/30/2013,6/30/2013,20131031,9.836,13.723,3.797,0.234,0.283
10107,6/30/2013,9/30/2013,20131130,8.362,14.175,3.961,0.247,0.262
10107,6/30/2013,9/30/2013,20131231,8.362,13.907,3.863,0.247,0.262
10107,6/30/2013,9/30/2013,20140131,8.362,14.067,3.908,0.247,0.262
10107,6/30/2013,12/31/2013,20140228,8.973,14.137,3.811,0.241,0.253
10107,6/30/2013,12/31/2013,20140331,8.973,15.125,4.058,0.241,0.253
10107,6/30/2013,12/31/2013,20140430,8.973,14.908,4,0.241,0.253
10107,6/30/2013,3/31/2014,20140531,10.154,15.333,4.058,0.222,0.236
10107,6/30/2013,3/31/2014,20140630,10.154,15.618,4.122,0.222,0.236
10107,6/30/2013,3/31/2014,20140731,10.154,16.165,4.267,0.222,0.236
10107,6/30/2014,6/30/2014,20140831,11.535,17.274,4.33,0.202,0.243
10107,6/30/2014,6/30/2014,20140930,11.535,17.627,4.427,0.202,0.243
10107,6/30/2014,6/30/2014,20141031,11.535,17.852,4.477,0.202,0.243
10107,6/30/2014,9/30/2014,20141130,10.84,18.749,4.325,0.217,0.206
10107,6/30/2014,9/30/2014,20141231,10.84,18.216,4.189,0.217,0.206
10107,6/30/2014,9/30/2014,20150131,10.84,15.843,3.637,0.217,0.206
